GCPA,Greedy,Baseline,Better Baseline
25,20,41,29
29,21,46,28
29,23,46,30
26,20,41,25
29,19,36,25
27,18,43,25
26,20,44,27
27,20,37,28
28,23,38,28
20,2,3,3
22,2,3,3
21,2,3,3
22,1,1,1
26,21,37,27
26,20,37,25
22,20,42,30
28,20,42,27
20,3,7,5
25,20,41,26
25,22,41,24
27,22,41,27
19,1,1,1
27,20,41,30
25,21,41,31
20,3,7,5
20,20,38,29
22,1,2,2
22,22,44,27
22,22,44,27
22,22,44,29
28,23,34,26
20,3,7,3
29,20,41,26
23,7,16,8
31,21,41,30
31,21,41,28
27,22,41,28
21,21,41,27
28,22,41,23
28,22,41,24
26,22,41,29
21,8,22,8
17,6,10,7
22,20,44,25
25,21,44,29
21,5,7,5
20,1,1,1
26,23,37,31
23,21,44,28
27,21,44,26
28,21,44,26
21,21,44,26
29,21,44,29
22,21,44,26
26,22,41,29
25,20,38,28
26,22,41,27
26,22,41,28
20,1,2,2
17,17,40,23
22,1,2,2
21,21,41,27
1,1,1,1
29,22,37,26
27,21,42,26
28,23,38,28
27,22,34,26
27,22,34,26
27,22,34,32
21,21,37,28
29,21,44,27
24,21,44,25
28,21,44,29
30,21,43,29
22,22,41,27
28,22,43,30
28,19,38,28
26,20,42,28
25,23,35,28
27,22,41,27
27,22,41,26
24,21,36,28
25,20,36,27
27,20,36,29
28,22,41,25
30,20,41,26
29,21,39,27
30,21,39,29
25,21,39,29
29,21,39,25
22,21,39,30
28,21,39,28
16,1,1,1
23,4,7,4
27,20,44,28
29,21,46,29
1,1,1,1
26,19,44,25
29,19,44,26
26,19,44,24
28,19,44,24
20,19,44,26
29,19,44,26
22,5,14,9
29,22,38,28
25,22,38,28
31,22,38,29
27,22,38,29
28,22,38,28
30,22,38,26
29,22,38,28
27,24,35,25
28,24,35,33
27,21,44,29
26,21,44,29
24,21,44,29
29,19,40,24
26,20,43,25
26,20,43,28
26,20,43,22
29,24,35,27
30,24,35,27
24,24,35,28
28,22,36,29
23,22,36,29
28,21,44,27
28,21,44,26
29,21,44,29
30,24,35,32
30,18,43,23
27,18,43,28
27,18,43,26
27,22,43,29
22,21,36,29
29,21,41,29
26,21,41,25
29,21,41,28
29,20,41,30
29,20,41,31
29,20,41,27
29,24,35,26
28,21,44,25
29,21,44,28
26,21,44,27
29,21,38,29
29,24,35,28
29,24,35,30
26,20,43,25
28,24,35,28
27,21,44,27
27,22,41,29
27,22,41,25
25,24,35,24
28,24,35,30
28,24,35,27
29,21,35,26
29,21,35,29
29,21,35,27
28,24,35,27
26,21,44,28
25,21,44,28
29,21,44,27
28,24,35,27
27,24,35,30
30,24,35,29
28,20,43,25
28,20,43,31
28,20,43,27
26,24,35,29
24,24,35,28
28,24,35,30
29,24,35,27
29,22,38,27
23,22,38,26
29,22,38,28
